Unnamed: 0,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,meal_time,calcium_magnesium_ratio,vitamin_c_e_ratio,saturated_unsaturated_fatty_acids_ratio,total_essential_amino_acids,total_carbohydrates,antioxidant_capacity,energy_density
0,Cornstarch,100,381,1,0,0.0,0.9,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.047,0.3,0.053,1.3,0.3,2.8e-05,0.006,26,19,12,20,6,53,9,8,0,10,36,6,6,13,24,12,9,1,10,14,9127,9,0,0,0,0,0,0,0,5,9,16,25,0.0,0,9,0.0,0.0,832,Supper,0.6666666666666667,0.0,0,95,9136,2.8e-05,3
1,"Nuts, pecans",100,691,72,62,0.0,0.0,0.405,0.0022,0.0,1.167,0.863,0.13,0.66,0.14,0.0003,0.0,0.0029,0.0009,0.0017,0,0.0,0.21,0.011,0.0,0.14,0.14,3.5e-05,7.0,1.2,0.253,12.1,4.5,27.7,41.0,3.8e-05,0.453,917,397,1177,929,152,1829,453,262,0,336,598,287,183,426,363,474,306,93,215,411,1386,96,397,4,0,4,0,0,390,7197,6180,40801,21614,0.0,0,149,0.0,0.0,352,Supper,0.578512396694215,0.07857142857142856,0,2640,1879,0.291038,6
2,"Eggplant, raw",100,25,2,0,0.0,0.2,0.069,0.0022,0.0,0.649,0.281,0.037,0.039,0.0575,0.0001,0.0,0.0014,0.0,0.0036,0,0.0,0.084,0.022,0.0,0.03,0.03,3.5e-05,0.9,0.081,0.023,1.4,0.232,2.4,22.9,3e-06,0.016,98,51,57,164,6,186,41,23,0,45,64,47,11,43,43,42,37,9,27,53,588,30,353,154,0,158,0,0,26,18,34,16,76,0.0,0,66,0.0,0.0,9230,Breakfast,0.6428571428571429,0.7333333333333333,0,309,971,0.109503,0
3,"Teff, uncooked",100,367,24,4,0.0,1.2,0.131,0.0,0.0,3.363,0.942,0.27,0.39,0.0225,0.0,0.0,0.0005,0.0,0.0066,0,0.0,0.482,0.0,0.0,0.008,0.008,1.9e-05,18.0,0.81,0.763,18.4,9.24,42.9,42.7,4.4e-05,0.363,1330,747,517,820,236,3349,477,301,0,501,1068,376,428,698,664,622,510,139,458,686,7313,80,184,47,0,73,0,1,62,238,449,589,1071,0.0,0,237,0.0,0.0,882,Supper,0.9782608695652175,0.0,0,4406,7577,0.030543999999999998,3
4,"Sherbet, orange",100,144,2,12,0.001,4.6,0.077,0.0004,0.0,0.063,0.224,0.097,0.027,0.115,0.0012,0.0,0.0001,0.0005,0.0007,0,1.3e-05,0.023,0.023,0.0,0.001,0.001,0.0,5.4,0.028,0.014,0.8,0.011,4.0,9.6,1.5e-05,0.048,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,13,2432,0,0,0,0,0,0,200,1160,530,80,0.1,0,40,0.0,0.0,6610,Lunch,6.75,23.0,1,0,5485,0.139015,1
5,"Cauliflower, raw",100,25,3,1,0.0,3.0,0.443,0.0057,0.0,0.507,0.667,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0001,0,0.0,0.184,0.482,0.0,0.008,0.008,0.000155,2.2,0.039,0.042,1.5,0.155,4.4,29.9,6e-06,0.027,192,116,86,177,20,257,71,56,0,71,106,217,20,65,71,86,76,20,51,125,497,20,191,97,0,94,0,0,0,28,130,34,31,0.0,0,76,0.0,0.0,9207,Breakfast,1.4666666666666668,60.25,2,700,708,0.490006,0
6,"Taro leaves, raw",100,42,7,2,0.0,0.3,0.128,0.0126,0.0,1.513,0.084,0.456,0.209,12.0625,0.0241,0.0,0.2895,0.0,0.1932,0,0.0,0.146,0.52,0.0,0.202,0.202,0.001086,10.7,0.27,0.225,4.5,0.714,6.0,64.8,9e-06,0.041,498,0,220,0,64,0,0,114,0,260,392,246,79,195,0,0,167,48,178,256,670,37,301,0,0,0,0,0,0,74,151,60,307,0.0,0,192,0.0,0.0,8566,Breakfast,2.3777777777777778,2.5742574257425743,0,1643,1008,12.784509,0
7,"Lamb, raw, ground",100,282,23,10,0.073,5.9,0.693,0.0018,0.0,5.96,0.65,0.21,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000231,0.13,0.0,0.005,0.02,0.02,3.6e-05,1.6,0.101,0.155,2.1,0.019,15.7,22.2,0.000188,0.341,1656,996,984,1457,198,2402,809,524,0,799,1288,1462,425,674,694,615,709,193,556,893,0,0,0,0,0,0,0,0,0,2341,10190,9600,1850,7.3,0,87,0.0,0.0,5947,Supper,0.7619047619047619,0.0,0,6443,0,0.020188,2
8,"Cheese, camembert",100,300,24,15,0.072,84.2,0.154,0.0062,0.0,0.63,1.364,0.488,0.028,2.05,0.0241,0.0,0.0012,0.0,0.0,0,0.00013,0.227,0.0,0.045,0.021,0.021,2e-05,38.8,0.021,0.033,2.0,0.038,34.7,18.7,0.000145,0.238,1980,819,701,1288,109,4187,379,683,0,968,1840,1766,565,1105,2346,1114,717,307,1145,1279,46,0,46,0,0,0,0,0,0,2426,15259,7023,724,7.2,0,368,0.0,0.0,5180,Supper,19.4,0.0,1,8547,92,2.0711449999999996,3
9,Vegetarian fillets,100,290,18,28,0.0,49.0,0.82,0.0102,0.0,12.0,0.0,0.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00042,1.5,0.0,0.0,0.345,0.345,0.0,9.5,0.925,0.2,2.3,0.0,45.0,60.0,1e-05,0.14,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,61,80,0,0,0,0,0,0,1800,2849,4376,9332,0.0,0,500,0.0,0.0,4500,Supper,4.130434782608696,0.0,0,0,1041,0.34501,2
